projectCode,projectName,fingerprintKey,disposition,totalHours
26-0012,Brown Preliminary Boundary Survey,Boundary Survey,cohort_a,8.25
26-0025,Lott Boundary Survey,Boundary Survey,cohort_a,18.75
15034-02,Dwyer Final Plat - Noche Vista,Plat (general),cohort_a,1.5
18058-05,Phase V - Plat,Plat (general),cohort_b,14
24-0135 Prelim + Final Plat,Prelim + Final Plat,Plat (general),cohort_a,11.5
24-0146,Delp Short-Plat,Plat (general),cohort_a,5.75
24-0356,Easy Street Plat,Plat (general),cohort_b,54.75
25-0173,Bennett Plat Amendment,Plat (general),cohort_b,17
26-0088,Noche Vista Bandera Plat,Plat (general),cohort_b,3.5
26-0088 | 26-0088 Noche Vista Bandera Plat Master Plan,Noche Vista Phase II,Plat (general),cohort_b,10
26-0088 | 26-0088 Noche Vista Bandera Plat Preliminary Plan,Preliminary Plan,Plat (general),cohort_b,31.25
8 Lot Preliminary Major Plat,8 Lot Preliminary Major Plat,Plat (general),cohort_b,13
Engineering New Plat,Engineering New Plat,Plat (general),cohort_b,77
Land Surveying Plat,Land Surveying Plat,Plat (general),cohort_b,2
23-0100,Ottosen SP,Short Plat,cohort_a,3.5
23042-00,Sadler BLA/ SP Red Apple Rd,Short Plat,cohort_b,30.25
24-0019,Aumell Short Plat,Short Plat,cohort_b,4.25
24-0155,Zager Rd SP,Short Plat,cohort_b,37.75
24-0164,Powell-Diaz SP,Short Plat,cohort_a,1
24-0168,Baltazar Short Plat,Short Plat,cohort_b,33
24-0168 Baltazar,Baltazar SP,Short Plat,cohort_b,3.5
24-0193,Dewy Loon Surveying BLA/SP/TOPO,Short Plat,cohort_b,40
24-0238,Chavez SP,Short Plat,cohort_b,3.25
24-0285,Austin Sweeney SP,Short Plat,cohort_b,0.25
24-0300,Hawkins SP,Short Plat,cohort_b,5.5
24-0330,Story 2 Lot Short Plat,Short Plat,cohort_a,22.5
24-0332,Fiano SP,Short Plat,cohort_a,12.25
24-0345,Ephrim Beach SP,Short Plat,cohort_b,10
25-0005 Smith Mark etal SP - Survey,Smith Mark etal SP - Survey,Short Plat,cohort_b,14
25-0010,Grandview SP,Short Plat,cohort_b,62.5
25-0024 - Phase II,Surveying Short Plat,Short Plat,cohort_a,28.5
25-0047,Paton Short Plat Survey,Short Plat,cohort_b,7.25
25-0105,Stern SP,Short Plat,cohort_a,0.5
26-0061 Pre SP,Preliminary SP,Short Plat,cohort_b,7.25
26-0101,Klarich Preliminary SP,Short Plat,cohort_b,54.25
24-0192,Equipment Share Site Plan,Site Plan,cohort_b,20.75
25-0169,Habitat for Humanity Site Plan,Site Plan,cohort_b,18.75
26-0118 Feasibility Fodor Site Plan,Feasibility Study,Site Plan,cohort_b,1.5
26-0118 Foder Site Plan,Foder Site Plan,Site Plan,cohort_b,0.5
26-0119,Berg Site Plan Civil Engineering,Site Plan,cohort_b,17.75
26-0119 Berg Site Plan,Supplemental Access Permit,Site Plan,cohort_b,8
26-0122 G Clark Site Plan,G Clark Site Plan,Site Plan,cohort_b,29
26-0123,J. Jessen Site Plan,Site Plan,cohort_a,23.25
26-0125,Myers Site Plan,Site Plan,cohort_b,27.25
Chavez Survey Site Plan,Chavez Survey Site Plan,Site Plan,cohort_b,8.5
23-0146,Mill Town Subdivision,Subdivision,cohort_b,401.5
25-0147,Vaughan 2 Lot Subdivision,Subdivision,cohort_a,35.75
26-0113,Marple Subdivision Resubmission,Subdivision,cohort_b,95.25
26-0066,Blair TOPO,Topographic Survey,cohort_a,27.25
Hoerner TOPO,Hoerner TOPO,Topographic Survey,cohort_b,21
Reservoir Tank TOPO,Reservoir Tank TOPO,Topographic Survey,cohort_a,29.5

