project_code,activity_code,hours
15034-02,V-155,1.5
18058-05,V-326,14.0
23-0100,C-245,3.5
23-0146,C-135,14.0
23-0146,C-202,52.25
23-0146,C-206,241.5
23-0146,C-321,24
23-0146,C-701,68.5
23-0146,C-800,0.5
23-0146,X-850,0.75
23042-00,O-040,1
23042-00,O-801,5
23042-00,V-105,0.25
23042-00,V-300,1
23042-00,V-326,9.0
23042-00,V-621,8
23042-00,X-105,5.00
23042-00,X-560,1
24-0019,C-300,0.25
24-0019,C-701,4
24-0135 Prelim + Final Plat,A-630,0.25
24-0135 Prelim + Final Plat,O-880,0.25
24-0135 Prelim + Final Plat,V-326,2.25
24-0135 Prelim + Final Plat,V-811,0.5
24-0135 Prelim + Final Plat,V-880,0.5
24-0135 Prelim + Final Plat,X-850,7.75
24-0146,V-326,5.0
24-0146,V-811,0.25
24-0146,X-800,0.5
24-0155,A-850,0.5
24-0155,O-210,1.25
24-0155,V-155,1
24-0155,V-200,0.25
24-0155,V-300,2.25
24-0155,V-326,5.50
24-0155,V-327,0.5
24-0155,V-410,2.5
24-0155,V-500,4.50
24-0155,V-621,6
24-0155,V-622,2.5
24-0155,X-105,7.00
24-0155,X-560,0.5
24-0155,X-850,3.50
24-0164,V-880,1
24-0168,O-210,1
24-0168,O-510,4.5
24-0168,O-610,1
24-0168,V-300,2
24-0168,V-323,1
24-0168,V-326,5.5
24-0168,V-410,1.5
24-0168,V-621,5
24-0168,X-105,9.75
24-0168,X-850,1.75
24-0168 Baltazar,O-040,1.0
24-0168 Baltazar,O-210,2.5
24-0192,C-100,1
24-0192,C-701,19.75
24-0193,C-100,0.25
24-0193,C-600,15.0
24-0193,O-040,2
24-0193,V-326,15.0
24-0193,V-880,2.5
24-0193,X-105,1.75
24-0193,X-850,3.50
24-0238,V-326,2
24-0238,V-880,0.5
24-0238,X-850,0.75
24-0285,X-850,0.25
24-0300,A-020,2
24-0300,O-040,0.5
24-0300,O-210,1.75
24-0300,O-510,0.5
24-0300,V-410,0.5
24-0300,X-850,0.25
24-0330,V-326,3.0
24-0330,V-329,1.25
24-0330,V-621,4
24-0330,X-560,0.5
24-0330,X-850,13.75
24-0332,A-580,0.5
24-0332,A-630,0.75
24-0332,O-930,0.25
24-0332,V-326,2
24-0332,X-105,1.0
24-0332,X-562,0.25
24-0332,X-800,0.25
24-0332,X-850,7.25
24-0345,V-300,1
24-0345,V-326,4.0
24-0345,X-105,4.25
24-0345,X-850,0.75
24-0356,A-540,0.25
24-0356,A-630,1.25
24-0356,O-040,1
24-0356,O-510,1
24-0356,O-801,0.5
24-0356,V-326,14.25
24-0356,V-410,2
24-0356,V-621,4.5
24-0356,V-811,0.25
24-0356,V-880,0.25
24-0356,X-105,9.50
24-0356,X-560,4.00
24-0356,X-800,1.75
24-0356,X-850,14.25
25-0005 Smith Mark etal SP - Survey,A-840,0.5
25-0005 Smith Mark etal SP - Survey,V-200,0.5
25-0005 Smith Mark etal SP - Survey,V-326,6.0
25-0005 Smith Mark etal SP - Survey,V-410,0.5
25-0005 Smith Mark etal SP - Survey,V-624,3
25-0005 Smith Mark etal SP - Survey,X-105,1.75
25-0005 Smith Mark etal SP - Survey,X-850,1.75
25-0010,A-540,0.25
25-0010,A-630,0.75
25-0010,O-510,4.5
25-0010,V-211,3
25-0010,V-300,1.50
25-0010,V-302,8.0
25-0010,V-326,10.75
25-0010,V-410,4.5
25-0010,V-621,7
25-0010,V-880,2.5
25-0010,X-105,8.75
25-0010,X-560,0.75
25-0010,X-562,1.0
25-0010,X-850,9.25
25-0024 - Phase II,A-620,0.25
25-0024 - Phase II,O-210,0.5
25-0024 - Phase II,V-326,6.00
25-0024 - Phase II,V-329,1.5
25-0024 - Phase II,V-410,6
25-0024 - Phase II,V-621,3
25-0024 - Phase II,V-880,0.5
25-0024 - Phase II,X-105,4.75
25-0024 - Phase II,X-850,6.00
25-0047,O-040,1
25-0047,O-210,1.25
25-0047,X-105,0.25
25-0047,X-850,4.75
25-0105,X-850,0.50
25-0147,O-930,0.5
25-0147,V-326,10.25
25-0147,V-624,5
25-0147,X-105,0.25
